Platform,Month,Member,VideoCount,TotalMetric,AvgMetric
TIKTOK,2025-06,GAEUL,4,16600000,4150000
TIKTOK,2025-07,GAEUL,6,60558100,10093017
TIKTOK,2025-08,GAEUL,7,9100500,1300071
TIKTOK,2025-09,GAEUL,12,20984700,1748725
TIKTOK,2025-10,GAEUL,5,3517199,703440
TIKTOK,2025-11,GAEUL,1,762000,762000
TIKTOK,2025-12,GAEUL,9,8834900,981656
TIKTOK,2026-01,GAEUL,7,9496100,1356586
TIKTOK,2026-02,GAEUL,1,888900,888900
TIKTOK,2021-12,LIZ,4,14900000,3725000
TIKTOK,2022-01,LIZ,2,5200000,2600000
TIKTOK,2022-04,LIZ,2,5900000,2950000
TIKTOK,2022-05,LIZ,1,6800000,6800000
TIKTOK,2022-07,LIZ,2,5700000,2850000
TIKTOK,2022-08,LIZ,2,7400000,3700000
TIKTOK,2022-10,LIZ,1,2400000,2400000
TIKTOK,2022-12,LIZ,3,7600000,2533333
TIKTOK,2023-01,LIZ,3,34200000,11400000
TIKTOK,2023-03,LIZ,1,6000000,6000000
TIKTOK,2023-04,LIZ,7,50200000,7171429
TIKTOK,2023-05,LIZ,4,14900000,3725000
TIKTOK,2023-06,LIZ,3,11000000,3666667
TIKTOK,2023-07,LIZ,2,17200000,8600000
TIKTOK,2023-09,LIZ,3,7244200,2414733
TIKTOK,2023-10,LIZ,7,30800000,4400000
TIKTOK,2023-11,LIZ,5,13600000,2720000
TIKTOK,2023-12,LIZ,2,24800000,12400000
TIKTOK,2024-01,LIZ,3,6542900,2180967
TIKTOK,2024-02,LIZ,3,5034400,1678133
TIKTOK,2024-03,LIZ,3,26300000,8766667
TIKTOK,2024-04,LIZ,3,17300000,5766667
TIKTOK,2024-05,LIZ,11,27174100,2470373
TIKTOK,2024-06,LIZ,4,8387000,2096750
TIKTOK,2024-07,LIZ,4,6000000,1500000
TIKTOK,2024-08,LIZ,5,10700000,2140000
TIKTOK,2024-09,LIZ,1,7400000,7400000
TIKTOK,2024-10,LIZ,2,4254600,2127300
TIKTOK,2024-11,LIZ,4,8400000,2100000
TIKTOK,2025-01,LIZ,9,53700000,5966667
TIKTOK,2025-02,LIZ,8,15387000,1923375
TIKTOK,2025-03,LIZ,1,3700000,3700000
TIKTOK,2025-04,LIZ,4,31700000,7925000
TIKTOK,2025-06,LIZ,2,8000000,4000000
TIKTOK,2025-07,LIZ,4,43680900,10920225
TIKTOK,2025-08,LIZ,4,9013100,2253275
TIKTOK,2025-09,LIZ,7,13503100,1929014
TIKTOK,2025-10,LIZ,6,13133400,2188900
TIKTOK,2025-11,LIZ,2,17200000,8600000
TIKTOK,2025-12,LIZ,9,8224200,913800
TIKTOK,2026-01,LIZ,12,15825600,1318800
TIKTOK,2021-12,LEESEO,4,14299999,3575000
TIKTOK,2022-01,LEESEO,2,4200000,2100000
TIKTOK,2022-02,LEESEO,1,3100000,3100000
TIKTOK,2022-04,LEESEO,7,18700000,2671429
TIKTOK,2022-05,LEESEO,3,11100000,3700000
TIKTOK,2022-07,LEESEO,2,8600000,4300000
TIKTOK,2022-08,LEESEO,5,15500000,3100000
TIKTOK,2022-09,LEESEO,4,14600000,3650000
TIKTOK,2022-10,LEESEO,1,1800000,1800000
TIKTOK,2022-12,LEESEO,3,7000000,2333333
TIKTOK,2023-01,LEESEO,2,4700000,2350000
TIKTOK,2023-03,LEESEO,1,14200000,14200000
TIKTOK,2023-04,LEESEO,2,9400000,4700000
TIKTOK,2023-05,LEESEO,3,9700000,3233333
TIKTOK,2023-06,LEESEO,2,9800000,4900000
TIKTOK,2023-07,LEESEO,2,17200000,8600000
TIKTOK,2023-09,LEESEO,2,2500000,1250000
TIKTOK,2023-10,LEESEO,6,38100000,6350000
TIKTOK,2023-11,LEESEO,4,5700000,1425000
TIKTOK,2023-12,LEESEO,2,25500000,12750000
TIKTOK,2024-01,LEESEO,3,13156300,4385433
TIKTOK,2024-02,LEESEO,4,11814500,2953625
TIKTOK,2024-03,LEESEO,2,5115900,2557950
TIKTOK,2024-04,LEESEO,2,6200000,3100000
TIKTOK,2024-05,LEESEO,11,14198100,1290736
TIKTOK,2024-06,LEESEO,4,7221300,1805325
TIKTOK,2024-07,LEESEO,4,6900000,1725000
TIKTOK,2024-08,LEESEO,6,15900000,2650000
TIKTOK,2024-09,LEESEO,1,2900000,2900000
TIKTOK,2024-10,LEESEO,1,2700000,2700000
TIKTOK,2024-11,LEESEO,2,3000000,1500000
TIKTOK,2024-12,LEESEO,5,18300000,3660000
TIKTOK,2025-01,LEESEO,8,40087200,5010900
TIKTOK,2025-02,LEESEO,11,16195500,1472318
TIKTOK,2025-03,LEESEO,2,6800000,3400000
TIKTOK,2025-04,LEESEO,5,18300000,3660000
TIKTOK,2025-05,LEESEO,3,6600000,2200000
TIKTOK,2025-06,LEESEO,2,12099999,6050000
TIKTOK,2025-07,LEESEO,3,12221800,4073933
TIKTOK,2025-08,LEESEO,7,4746000,678000
TIKTOK,2025-09,LEESEO,10,13858300,1385830
TIKTOK,2025-10,LEESEO,5,5491600,1098320
TIKTOK,2025-11,LEESEO,2,14800000,7400000
TIKTOK,2025-12,LEESEO,16,25495300,1593456
TIKTOK,2026-01,LEESEO,7,25229300,3604186
TIKTOK,2021-11,GROUP/UNKNOWN,1,2000000,2000000
TIKTOK,2021-12,GROUP/UNKNOWN,3,21900000,7300000
TIKTOK,2022-03,GROUP/UNKNOWN,1,6000000,6000000
TIKTOK,2022-04,GROUP/UNKNOWN,3,5600000,1866667
