Platform,ID,Title,Members,Views,Likes,Comments,Favorites,Shares,Date,URL
YOUTUBE,zDDIxbvogFE,#IVE #LOVEDIVE 'IVE'S WEEK' DAY 2 #Shorts,GROUP/UNKNOWN,929000,59130,498,,,2022-05-04,https://www.youtube.com/shorts/zDDIxbvogFE
YOUTUBE,VqeZV-EQysE,#IVE #LOVEDIVE 'IVE'S WEEK' DAY 3 #Shorts,GROUP/UNKNOWN,8300000,309919,2600,,,2022-05-05,https://www.youtube.com/shorts/VqeZV-EQysE
YOUTUBE,l2x0l2MIYjE,#IVE #LOVEDIVE 'IVE'S WEEK' DAY 4 #Shorts,GROUP/UNKNOWN,339000,32704,185,,,2022-05-06,https://www.youtube.com/shorts/l2x0l2MIYjE
YOUTUBE,Oy0odHul7Cs,#IVE #LOVEDIVE 'IVE'S WEEK' DAY 5 #Shorts,GROUP/UNKNOWN,343000,30759,189,,,2022-05-07,https://www.youtube.com/shorts/Oy0odHul7Cs
YOUTUBE,lP-N8o_RsPM,#IVE #LOVEDIVE 'IVE'S WEEK' DAY 6 #Shorts,GROUP/UNKNOWN,403000,32216,315,,,2022-05-08,https://www.youtube.com/shorts/lP-N8o_RsPM
YOUTUBE,Cw_tWAQ2fGk,아이브 레이는 녹음실을 랩으로 때려 #Shorts,REI,417000,36162,294,,,2022-05-12,https://www.youtube.com/shorts/Cw_tWAQ2fGk
YOUTUBE,ieVRCiJcRpc,아이브 리즈의 5단고음 라이브 #Shorts,LIZ,676000,51082,494,,,2022-05-12,https://www.youtube.com/shorts/ieVRCiJcRpc
YOUTUBE,lPPM76oOJn0,아이브가 다이브한 첫 축제 #Shorts,GROUP/UNKNOWN,883000,39073,485,,,2022-05-18,https://www.youtube.com/shorts/lPPM76oOJn0
YOUTUBE,OnDSUVlbNfU,아이브 가을 레이 이서의 #RollerCoasterChallenge #Shorts,REI/GAEUL/LEESEO,1100000,63885,659,,,2022-05-19,https://www.youtube.com/shorts/OnDSUVlbNfU
YOUTUBE,3NRwGot0dzk,BFF끼리 뽀뽀 가능한 사람 들어와 #Shorts,GROUP/UNKNOWN,479000,26527,192,,,2022-05-25,https://www.youtube.com/shorts/3NRwGot0dzk
YOUTUBE,KsDfvwJv7vo,벽돌 : 이서는 한 칸 더 채우고 있어♬ #Shorts,LEESEO,2000000,64217,245,,,2022-05-25,https://www.youtube.com/shorts/KsDfvwJv7vo
YOUTUBE,8y9uydtJMMc,원영이 그리기 참 쉽죠~? #Shorts,WONYOUNG,937000,51816,835,,,2022-06-02,https://www.youtube.com/shorts/8y9uydtJMMc
YOUTUBE,2BZtP8q8kQo,다채로운 콩수니 #Shorts,GROUP/UNKNOWN,1300000,94737,1000,,,2022-06-07,https://www.youtube.com/shorts/2BZtP8q8kQo
YOUTUBE,l2fmi1y40nw,Zㅏ기야 송 (feat. LIZ) #Shorts,LIZ,583000,34428,321,,,2022-06-07,https://www.youtube.com/shorts/l2fmi1y40nw
YOUTUBE,7B0FrEfnGDc,레이의 애교 따라하기 참 쉽죠? #Shorts,REI,364000,25248,281,,,2022-06-10,https://www.youtube.com/shorts/7B0FrEfnGDc
YOUTUBE,xbL51zan1sM,누가 내 머리 위에 💩 쌌어 #Shorts,GROUP/UNKNOWN,1000000,47169,289,,,2022-06-14,https://www.youtube.com/shorts/xbL51zan1sM
YOUTUBE,XQQoDeCl-dQ,공포의 케이크 눈알 찍기 #Shorts,GROUP/UNKNOWN,965000,41154,236,,,2022-06-14,https://www.youtube.com/shorts/XQQoDeCl-dQ
YOUTUBE,VrfMbIsoB-E,토끼 우는 소리 들어본 사람 #Shorts,GROUP/UNKNOWN,1300000,64645,695,,,2022-07-07,https://www.youtube.com/shorts/VrfMbIsoB-E
YOUTUBE,o6l1kXy0hDA,아이브 리즈 이서의 킹받는 리코더 연주 모음 #Shorts,LIZ/LEESEO,354000,20905,145,,,2022-07-07,https://www.youtube.com/shorts/o6l1kXy0hDA
YOUTUBE,qoqb0LXDdYU,아이브 이서의 07년생 모먼트 #Shorts,LEESEO,763000,45560,519,,,2022-07-07,https://www.youtube.com/shorts/qoqb0LXDdYU
YOUTUBE,VYOjru2nKAc,폴더즈의 점심 데이트 #Shorts,GROUP/UNKNOWN,378000,20561,154,,,2022-07-13,https://www.youtube.com/shorts/VYOjru2nKAc
YOUTUBE,Fj-PQOiegHI,아이브 장원영의 어떡하지송 #Shorts,WONYOUNG,560000,32339,343,,,2022-07-13,https://www.youtube.com/shorts/Fj-PQOiegHI
YOUTUBE,pWvcT925YgA,커플즈냐 두콩즈냐? #Shorts,GROUP/UNKNOWN,100000,13753,104,,,2022-07-14,https://www.youtube.com/shorts/pWvcT925YgA
YOUTUBE,TXxawAqJ3vg,아이브 삼 to the 각 to the 관계~ #Shorts,GROUP/UNKNOWN,233000,22052,151,,,2022-07-14,https://www.youtube.com/shorts/TXxawAqJ3vg
YOUTUBE,MLDiB7No6uI,아이브 체리포도완두콩 #Shorts,GROUP/UNKNOWN,269000,21313,129,,,2022-07-14,https://www.youtube.com/shorts/MLDiB7No6uI
YOUTUBE,pIzEuBd95eQ,V 포즈 3종 세트 #Shorts,GROUP/UNKNOWN,1400000,89434,1000,,,2022-07-20,https://www.youtube.com/shorts/pIzEuBd95eQ
YOUTUBE,Cr4C_-Q92y4,#IVE 'IVE'S WEEK' SPECIAL DAY #Shorts,GROUP/UNKNOWN,1400000,74183,704,,,2022-07-22,https://www.youtube.com/shorts/Cr4C_-Q92y4
YOUTUBE,0-sQUdyZLIU,콩순이도 유↗ 후~ 💚 #Shorts,GROUP/UNKNOWN,5400000,270352,2400,,,2022-08-22,https://www.youtube.com/shorts/0-sQUdyZLIU
YOUTUBE,xwz-9c8F4pg,최고의 “핫퀸카퍼피” 아이브 안유..↗ 후~ 😘 앤다아아〰🫶❤‍🔥 #Shorts,GROUP/UNKNOWN,2800000,121099,1100,,,2022-08-23,https://www.youtube.com/shorts/xwz-9c8F4pg
YOUTUBE,WvWdCQCVba4,FIREWORKS ❤‍🔥 FASEECOM WITH IVE #Shorts,GROUP/UNKNOWN,4000000,278122,1300,,,2022-08-23,https://www.youtube.com/shorts/WvWdCQCVba4
YOUTUBE,Mre-BBSkkLk,피곤하게 하고 싶은 여성 1위 “그” 선배 #Shorts,GROUP/UNKNOWN,13000000,437276,3500,,,2022-08-24,https://www.youtube.com/shorts/Mre-BBSkkLk
YOUTUBE,IHwet2tj8Rw,유후티비〰💛🌼🍋🔅 #Shorts,GROUP/UNKNOWN,2200000,127227,1300,,,2022-08-24,https://www.youtube.com/shorts/IHwet2tj8Rw
YOUTUBE,db4ZlJWr4sA,Tweety 녕 🐣❣ #Shorts,GROUP/UNKNOWN,4800000,219500,2400,,,2022-08-26,https://www.youtube.com/shorts/db4ZlJWr4sA
YOUTUBE,vbLF82Dj6tk,리즈=🐈‍⬛ 감히 의심하지 마 😝 #Shorts,LIZ,3900000,201602,4200,,,2022-08-29,https://www.youtube.com/shorts/vbLF82Dj6tk
YOUTUBE,tfPK5-d7Y9s,내 장점이 뭔지 알아 내가 바로 “김가을”이란 거야 😎💙 #Shorts,GAEUL,4500000,208873,1600,,,2022-08-29,https://www.youtube.com/shorts/tfPK5-d7Y9s
YOUTUBE,A_ShpMFfONA,아이브 그냥 좋다는 게 아냐😖 What's After 'LIKE'? 🪩 #Shorts,GROUP/UNKNOWN,2700000,88325,784,,,2022-08-30,https://www.youtube.com/shorts/A_ShpMFfONA
YOUTUBE,CF7_bUK9TFQ,지금 우당탕즈에게 완전히 푹 빠졌단 게 중요한 거지💜 #Shorts,GROUP/UNKNOWN,12000000,502988,2900,,,2022-09-13,https://www.youtube.com/shorts/CF7_bUK9TFQ
YOUTUBE,MfigPzDpnCY,똑똑 ✊ 우당탕즈잉데요 다이브 있어용 😶 #Shorts,GROUP/UNKNOWN,3600000,202491,2100,,,2022-09-13,https://www.youtube.com/shorts/MfigPzDpnCY
YOUTUBE,QivohBSA-_o,유진이 장점이 뭔지 알아🤭 바로 '장신'인 거야📶 #Shorts,YUJIN,1700000,63052,532,,,2022-09-17,https://www.youtube.com/shorts/QivohBSA-_o
YOUTUBE,YmZmBiDybTE,#IVE #AfterLIKE 'IVE'S WEEK' DAY 1 🎇 #Shorts,GROUP/UNKNOWN,950000,52819,421,,,2022-09-19,https://www.youtube.com/shorts/YmZmBiDybTE
YOUTUBE,9LEJUbNi0QY,#IVE #AfterLIKE 'IVE'S WEEK' DAY 2 🖤 #Shorts,GROUP/UNKNOWN,372000,31134,290,,,2022-09-20,https://www.youtube.com/shorts/9LEJUbNi0QY
YOUTUBE,5jP-9hjrk0Q,오늘의 내 장점은 #Shorts,GROUP/UNKNOWN,4300000,150270,971,,,2022-09-21,https://www.youtube.com/shorts/5jP-9hjrk0Q
