Platform,Rank,Member,Value,Title,URL
TIKTOK,20,WONYOUNG,22300000,𝑺𝒊𝒈𝒎𝒂 𝑮𝒊𝒓𝒍🐈‍⬛🖤 #IVE #아이브 #アイヴ #JANGWONYOUNG #장원영 #ジャンウォニョン #ウォニョン #IVE_EMPATHY #,https://www.tiktok.com/@ive.official/video/7473098699204332807
YOUTUBE,1,YUJIN/REI/GAEUL,16000000,자신감 넘치는 #안유진 감독님의 📽 #IAMchallenge #아이엠챌린지 #IAM #아이엠 #IVE #아이브 #ANYUJIN #GAEUL #가,https://www.youtube.com/shorts/7AWo_sw96j8
YOUTUBE,2,GROUP/UNKNOWN,15000000,dokgodieinsaeng ATTITUDE 👥👍💃 with #이영지 #IVE #아이브 #ATTITUDE #REBELHEART #Shorts,https://www.youtube.com/shorts/3gegqsxbKmg
YOUTUBE,3,GROUP/UNKNOWN,14000000,지구용사 #이영지 의 #내춤춰챌린지💃🏼 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브,https://www.youtube.com/shorts/OCQNtXuZgUM
YOUTUBE,4,GROUP/UNKNOWN,13000000,피곤하게 하고 싶은 여성 1위 “그” 선배 #Shorts,https://www.youtube.com/shorts/Mre-BBSkkLk
YOUTUBE,5,GROUP/UNKNOWN,12000000,지금 우당탕즈에게 완전히 푹 빠졌단 게 중요한 거지💜 #Shorts,https://www.youtube.com/shorts/CF7_bUK9TFQ
YOUTUBE,6,WONYOUNG,12000000,Ay-Ay 𝑺𝒖𝒈𝒂𝒓 𝒐𝒏 𝒎𝒚 🪞🤍 #IVE #아이브 #JANGWONYOUNG #장원영 #Shorts,https://www.youtube.com/shorts/r0Ae4HX0tTI
YOUTUBE,7,GROUP/UNKNOWN,10000000,Kitsch! 🕶 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Shorts,https://www.youtube.com/shorts/u_ycT9K6Cik
YOUTUBE,8,REI,10000000,Kawaii Reii ◡̈⋆* #IVE #아이브 #REI #레이 #Shorts,https://www.youtube.com/shorts/bK3rclXV8Ck
YOUTUBE,9,GROUP/UNKNOWN,10000000,💙 다이브 사랑한데이 🩵 #IVE #아이브 #IVE_SCOUT #Shorts,https://www.youtube.com/shorts/F8j6iE2_bvI
YOUTUBE,10,REI/GAEUL/LIZ,9500000,I am Golden ⚜️ #IVE #아이브 #GAEUL #가을 #REI #레이 #LIZ #리즈 #Lollapalooza #Lolla#Golde,https://www.youtube.com/shorts/jE49719r910
YOUTUBE,11,WONYOUNG/GAEUL,8800000,장르로는 GALAXY💫#IAMchallenge #아이엠챌린지 #IAM #아이엠 #IVE #아이브 #GAEUL #가을 #JANGWONYOUNG #,https://www.youtube.com/shorts/FGTvoBoUvmk
YOUTUBE,12,GROUP/UNKNOWN,8300000,#IVE #LOVEDIVE 'IVE'S WEEK' DAY 3 #Shorts,https://www.youtube.com/shorts/VqeZV-EQysE
YOUTUBE,13,REI,7900000,아이브는 릴레이 비행중 ✈ #IAMchallenge #아이엠챌린지 #IAM #아이엠 #IVE #아이브 #IveIVE #아이해브아이브 #Short,https://www.youtube.com/shorts/sp5mlN1yzEg
YOUTUBE,14,YUJIN,7900000,킥진이 앞에서는 절로 숙여지는 고개 🫨#BaddieChallenge #Baddie #IVE #아이브 #ANYUJIN #Shorts,https://www.youtube.com/shorts/z0jRrxbRaqQ
YOUTUBE,15,GROUP/UNKNOWN,7800000,❷⓿❷❹ ​ 🅘🅥🅔 🌱 #IVE #아이브 #HappyIVEday #IVE_3rd_Anniversary #마지막_달_떠오른_여섯개의_해 ☀ #Sh,https://www.youtube.com/shorts/LTllHup_HSw
YOUTUBE,16,WONYOUNG,7600000,🚨Ｅｍｅｒｇｅｎｃｙ🚨 #IVE #아이브 #JANGWONYOUNG #장원영 #Shorts,https://www.youtube.com/shorts/1vWNqgkMVcs
YOUTUBE,17,GROUP/UNKNOWN,7300000,자유로운 Kitsch! 💟 #Kitsch #KitschChallenge #키치챌린지 #IVE #아이브 #IveIVE #아이해브아이브 #Short,https://www.youtube.com/shorts/sny8W5rKlcg
YOUTUBE,18,YUJIN,7300000,#BaddieChallenge #aespa #KARINA 🐱 #Baddie #IVE #아이브 #ANYUJIN #Shorts,https://www.youtube.com/shorts/NjXvIuqqulE
YOUTUBE,19,GROUP/UNKNOWN,7000000,#XOXZchallenge 🗣️💕😴💭🫂 #IVE #아이브 #IVE_SECRET #XOXZ #IVE_XOXZ #Shorts,https://www.youtube.com/shorts/u-0Prr5Hbpg
YOUTUBE,20,YUJIN,6900000,저는요 아이브 만능 리더 안댕댕🐶 #IAMchallenge #아이엠챌린지 #IVE #아이브 #ANYUJIN #안유진 #IAM #아이엠 #IveI,https://www.youtube.com/shorts/V3rQzHNWVFM
DOUYIN,1,WONYOUNG,4432023,₍⑅ᐢ..ᐢ⑅₎🖐️⊹ﾟ  #IVE  #JANGWONYOUNG #张员瑛 #鸽子摇来了,https://www.douyin.com/video/7552541768639515938
DOUYIN,2,WONYOUNG,3395416,🎀🩷🐰  #IVE #张员瑛  #JANGWONYOUNG #娜娜米手势舞,https://www.douyin.com/video/7592197307019156714
DOUYIN,3,GROUP/UNKNOWN,3150183,听元英写的OTT的歌词 and Turn~  #IVE #張員瑛 #IVE_OTT #OTT,https://www.douyin.com/video/7359437967544438026
DOUYIN,4,WONYOUNG,2715154,Ay-Ay 𝑺𝒖𝒈𝒂𝒓 𝒐𝒏 𝒎𝒚 🪞🤍  #IVE  #JANGWONYOUNG  #张员瑛,https://www.douyin.com/video/7558837333421509940
DOUYIN,5,WONYOUNG,1644152,不要惹我一拉一拉喽😠💢  #IVE  #JANGWONYOUNG #张员瑛,https://www.douyin.com/video/7516123976624983353
DOUYIN,6,LEESEO,1476534,老己=毕业🎓  #IVE  #LEESEO #李瑞,https://www.douyin.com/video/7592926898142327979
DOUYIN,7,LIZ,878337,ocean eyez (｡- .•)  #IVE  #LIZ  #oceaneyes,https://www.douyin.com/video/7552423622250515752
